OTUID	PL_1	PL_10	PL_11	PL_12	PL_13	PL_15	PL_16	PL_17	PL_18	PL_19	PL_2	PL_20	PL_21	PL_22	PL_24	PL_3	PL_4	PL_5	PL_6	PL_7	PL_8	PL_9	SUB_1	SUB_10	SUB_11	SUB_12	SUB_13	SUB_15	SUB_16	SUB_17	SUB_18	SUB_19	SUB_2	SUB_20	SUB_21	SUB_22	SUB_24	SUB_3	SUB_4	SUB_5	SUB_6	SUB_7	SUB_8	SUB_9	SUR_1	SUR_10	SUR_11	SUR_12	SUR_13	SUR_15	SUR_16	SUR_17	SUR_18	SUR_19	SUR_2	SUR_20	SUR_21	SUR_22	SUR_24	SUR_3	SUR_4	SUR_5	SUR_6	SUR_7	SUR_8	SUR_9
ASV_28	13	15	1	0	0	0	0	1	31	0	0	4	5	294	8	1	5	0	1	1	1	0	1	19	3	0	11	6	2	3	1	10	0	2	6	4	2	3	2	1	0	0	2	0	60	59	25	44	120	88	18	65	32	57	8	32	108	59	12	103	56	26	15	67	11	20
ASV_33	0	2	1	0	6	0	1	1	0	1	0	6	4	31	0	3	2	0	0	0	0	1	0	3	9	2	38	1	0	0	6	5	0	2	5	0	0	3	2	0	1	1	5	0	1	4	79	64	344	48	2	19	20	50	0	47	91	0	0	139	51	44	88	134	34	40
ASV_43	11	9	1	5	0	0	11	0	0	0	0	0	0	38	1	1	6	1	8	3	7	5	0	38	0	32	1	21	0	7	0	0	4	0	0	1	4	15	8	0	9	8	194	6	20	63	4	55	0	33	39	14	0	0	108	0	0	0	0	33	36	7	117	118	152	198
ASV_34	3	28	2	43	20	0	17	32	1	33	5	20	1	38	2	4	25	20	16	5	3	8	1	49	27	51	14	46	63	64	1	24	39	30	3	6	6	5	53	11	14	54	51	25	4	46	3	61	5	43	109	54	0	3	53	4	0	1	2	18	15	17	18	30	41	72
ASV_35	22	7	1	5	2	0	5	6	4	11	0	14	5	29	11	5	6	1	3	0	0	0	5	22	9	42	14	18	6	11	15	17	1	6	4	2	14	7	12	4	3	9	1	2	65	62	31	47	102	43	18	78	42	40	36	45	59	77	50	52	32	33	45	28	20	24
ASV_36	1	4	3	21	5	0	41	9	0	7	2	47	11	2	24	2	26	11	3	2	10	9	0	33	4	29	17	27	40	18	2	14	9	38	24	19	17	10	21	28	14	20	52	6	6	61	8	71	8	30	115	84	2	21	32	34	2	18	7	23	37	19	18	42	62	45
ASV_45	8	8	118	12	4	0	1	0	13	1	0	1	3	0	0	3	2	4	1	0	1	0	54	42	5	3	25	11	17	99	236	51	83	7	81	3	0	42	2	154	19	2	142	1	14	3	3	1	9	6	4	14	18	12	7	2	18	3	0	5	6	4	5	4	2	5
ASV_41	0	30	41	62	120	0	33	100	5	19	0	71	9	3	13	12	16	35	0	115	4	2	0	9	53	31	45	23	79	61	0	46	9	42	6	56	69	12	63	193	5	65	21	3	0	3	2	8	1	16	22	34	0	4	1	14	0	1	3	1	6	3	1	0	1	5
ASV_42	2	22	8	28	14	0	18	13	0	7	2	7	3	5	10	5	19	12	11	21	4	12	5	36	27	36	10	17	22	30	5	59	9	91	14	23	10	29	123	38	23	32	7	27	17	61	22	20	18	34	48	22	2	27	19	19	2	13	6	20	35	40	15	7	16	15
ASV_37	1	2	5	4	20	0	14	9	0	18	0	46	4	4	0	3	44	15	2	1	5	5	0	20	28	12	27	9	19	8	3	50	2	85	35	47	39	8	34	6	0	31	34	2	5	43	23	77	23	36	25	63	0	34	22	40	1	10	0	18	80	23	8	34	32	40
ASV_51	12	17	5	4	6	0	2	3	0	22	1	8	15	36	12	17	2	13	3	3	2	0	4	15	5	7	11	18	0	1	16	42	0	27	10	11	5	20	121	8	2	12	12	0	14	17	4	15	33	14	11	28	13	78	4	19	137	8	39	17	97	50	6	16	16	10
ASV_57	0	8	7	28	49	0	13	5	11	13	1	15	33	20	32	7	12	37	17	145	3	0	0	11	57	53	70	14	16	33	18	37	0	61	44	19	21	27	149	24	0	43	8	2	0	10	10	13	2	16	6	11	0	23	0	7	1	10	16	3	14	10	3	1	2	10
