Genomic bins	SUB_2	SUB_3	SUB_1	SUB_6	SUB_7	SUB_4	SUB_5	SUR_21	SUR_20	SUB_8	SUB_9	SUR_24	PL_15	SUR_3	PL_17	PL_16	PL_11	SUR_7	SUR_4	PL_12	SUR_8	SUR_9	PL_19	PL_18	PL_5	PL_4	PL_7	PL_6	PL_1	PL_3	PL_2	PL_9	PL_8	SUR_22	SUR_15	SUR_16	SUR_17	SUR_10	SUR_11	SUR_12	SUR_13	SUB_21	SUB_20	SUB_22	SUR_18	SUB_24	SUR_19	SUR_1	SUR_6	PL_10	PL_13	PL_24	SUR_5	PL_20	PL_21	PL_22	SUR_2	SUB_15	SUB_16	SUB_17	SUB_10	SUB_11	SUB_12	SUB_13	SUB_18	SUB_19
s_PL_4_3	34.173223	70.412436	28.476342	33.8012395	6.940994	16.0104465	28.270422500000002	9.3790225	0.0	17.878183	15.4096	0.0	7.448412	7.237171999999999	5.60618	3.0144634999999997	38.958129	0.0	1.1593025	14.161546000000001	0.0	1.805329	52.459083	4.701301	7.868777	15.284805500000001	2.2773044999999996	15.577141	23.2108115	30.0943785	7.807	22.6117505	29.614079	0.0	2.232394	2.0759755	4.0733985	4.1189015	7.869008	2.651407	18.754656	18.128541	0.0	0.0	13.6097705	0.0	0.0	13.035438	4.2190005	5.813481	29.391897	0.0	15.362652	1.3754490000000001	15.814785	0.0	1.1199735	20.01327	6.7685575	21.757577	31.388481	48.676133	31.026192	33.4703265	20.637864999999998	0.0
s_SUB_6_22	5.893299	4.618655	1.707341	17.427743	3.955993	9.283886	12.758296	6.183593	1.950793	4.850203	5.446101	1.329451	2.422912	2.111145	5.640531	9.235408	8.727053	0.888535	1.340927	6.583696	1.000368	1.958472	3.03325	3.104374	6.150366	14.993717	3.907639	2.260318	1.665412	7.479466	1.375986	1.341898	3.969348	1.559358	1.554893	1.7998	3.275473	2.599205	1.774666	2.045902	4.643934	8.598403	0.980224	1.787573	6.232931	1.746489	2.705628	5.4494	2.082858	7.357385	12.364154	2.000278	5.227013	1.347689	3.851137	0.480161	1.258274	8.743052	3.772297	11.121589	7.174677	8.486675	8.443564	7.928691	3.773891	1.121748
s_SUB_6_29	3.09807	8.338067	21.911574	9.305299	0.08305	0.088492	0.0	0.0	0.0	0.608933	0.112948	0.0	0.0	0.0	0.0	0.0	4.486218	0.0	0.0	0.222063	0.0	0.0	0.0	0.09063	0.0	0.679868	0.0	0.572555	2.970944	6.249708	0.000245	2.09967	1.492933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.248653	0.0	0.0	0.0	0.0	0.161409	0.0	0.0	0.306401	0.069661	0.205493	1.458596	1.969908	0.06722	0.046557	0.0	0.0
s_PL_21_4	0.0	0.0	0.0	0.0	1.76414	2.935473	0.829529	0.471272	2.784743	0.646546	0.0	3.326729	0.545986	0.615885	1.261937	2.254684	0.626626	0.771059	1.489605	1.202468	0.909744	1.005121	1.078069	1.373457	2.964232	1.107736	5.453513	1.112906	0.0	0.123291	0.0	0.0	0.202733	3.36548	1.125447	3.799695	1.545506	0.746768	2.574478	1.134983	1.183918	2.178243	2.207815	2.9255	2.43729	4.572774	1.266744	0.0	0.085649	0.465246	1.205117	3.572422	1.280608	2.306352	17.914644	1.140949	0.0	0.482548	3.882258	1.226496	0.345119	1.444051	0.614671	0.956671	1.510889	2.421021
s_PL_8_20	2.906413	14.198719	10.006286	14.254253	0.284608	1.172413	0.943402	0.0	0.0	1.131024	0.642543	0.0	1.430724	0.0	0.384735	0.383897	9.379743	0.0	0.0	1.443729	0.0	0.0	2.09366	0.869486	0.172721	3.562584	0.17296	3.43593	9.995037	12.606627	1.322556	8.099799	11.461621	8.7e-05	0.0	0.0	0.0	0.07455500000000001	0.153392	0.0	0.0	0.578901	0.0	0.0	0.0	0.0	0.039931999999999995	0.0	0.081885	0.999722	2.748593	0.0	0.0	0.067164	3.085714	0.0	0.0	1.760273	0.432216	1.092431	4.143379	7.856602	0.256183	2.638835	0.189113	0.0
s_PL_2_11	1.930267	4.232262	1.549707	4.175868	1.165673	1.145737	1.752587	5.952327	3.329914	1.485162	1.282091	2.017021	103.53201	1.920092	1.536993	1.857983	9.409592	1.235892	1.577139	1.092723	1.278156	1.312167	2.60825	23.370106	1.192912	1.751211	0.620802	0.635559	1.025985	2.202017	106.43084	0.864386	1.583486	3.371153	1.548205	1.110043	2.242209	2.192139	4.739116	1.443377	3.558675	3.850798	2.521179	6.152464	6.45673	6.315947	4.744362	4.760775	1.489594	0.901856	1.878413	2.489519	2.405895	3.579387	2.262834	28.913266	1.989043	2.769672	2.994366	1.749843	1.266997	2.890087	0.876896	4.044573	5.583562	2.402855
s_SUB_5_6	2.323828	4.723861	3.827948	7.149262	0.64665	2.53018	16.674957	2.671735	1.282273	1.169759	0.84568	0.733289	48.945051	0.700418	2.558935	2.622448	5.132105	0.35327	0.489258	1.389826	0.485581	0.456301	7.46504	30.043923	0.829036	2.873645	0.462767	1.883142	1.399118	14.802466	158.401858	3.481606	9.256955	1.105176	0.535921	0.424205	1.061587	0.853885	1.828644	0.474122	1.227432	3.713658	1.056115	2.61155	2.422886	1.898569	2.351677	1.8888	0.600012	1.009172	2.285739	1.008716	1.589739	3.921056	3.367316	5.958904	0.701304	1.603019	2.660797	5.201572	1.426059	1.794115	0.6764	4.989973	4.197991	0.964399
s_PL_3_5	1.996614	3.722205	19.602057	7.183708	0.0	0.0	0.357875	0.0	0.0	0.289065	0.116493	0.0	0.546409	0.0	0.820966	0.433962	3.891206	0.0	0.0	2.813475	0.0	0.0	0.0	0.687295	0.05246	2.533828	0.076597	2.929076	5.519962	30.245729	1.338364	7.395858	60.209924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.640663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.380389	0.659767	0.0	0.0	0.0	2.381365	0.0	0.0	0.945006	0.269565	0.497338	1.070891	2.52868	0.261799	0.857864	0.43564	0.0
s_SUB_6_8	9.742429	28.452411	54.550524	26.125164	0.393459	0.200112	1.049083	0.0	0.0	2.422064	4.75716	0.0	1.73846	0.0	0.230217	0.498866	10.209451	0.0	0.0	2.49117	0.0	0.0	0.213958	0.12507	0.439913	7.614707	0.370951	5.930706	19.042667	66.565026	22.532253	84.844829	14.579436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.548326	0.0	0.0	0.0	0.0	0.0	0.261895	0.411988	1.03875	0.710629	0.0	0.0	0.0	1.001766	0.0	0.0	4.493159	0.494572	1.592376	2.967801	2.6904	0.339235	0.92584	0.23026	0.0
s_PL_9_30	0.998648	7.931421	1.916513	6.453983	0.114429	0.520522	0.0	0.117111	0.0	1.239141	0.799816	0.0	0.0	0.251954	0.041393	0.093847	0.996358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.395475	0.05663	0.355513	0.58044	7.093905	0.239669	17.118608	2.636376	0.0	0.0	0.0	0.0	0.0	1e-06	0.0	0.196637	0.0	0.0	0.0	0.038225	0.0	0.0	0.250264	0.216454	0.314629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.108921	0.0	0.313304	0.920175	0.414922	0.000215	0.276064	0.188063	0.0
